symbol,sector,industry
GE,Industrials,Specialty Industrial Machinery
BAC,Financial Services,Banks Diversified
AAPL,Technology,Consumer Electronics
MSFT,Technology,Software Infrastructure
GILD,Healthcare,Drug Manufacturers General
HPQ,Technology,Computer Hardware
F,Consumer Cyclical,Auto Manufacturers
AMD,Technology,Semiconductors
SNAP,Communication Services,Internet Content & Information
FB,Communication Services,Internet Content & Information
WFC,Financial Services,Banks Diversified
AIG,Financial Services,Insurance Diversified
T,Communication Services,Telecom Services
C,Financial Services,Banks Diversified
VALE,Basic Materials,Metals & Mining
MS,Financial Services,Capital Markets
JPM,Financial Services,Banks Diversified
ORCL,Technology,Software Infrastructure
NKE,Consumer Cyclical,Footwear & Accessories
PG,Consumer Defensive,Household & Personal Products
PFE,Healthcare,Drug Manufacturers General
JD,Consumer Cyclical,Internet Retail
NOK,Technology,Communication Equipment
AVGO,Technology,Semiconductors
MAGN,Basic Materials,Metals & Mining
AMAT,Technology,Semiconductor Equipment & Materials
XOM,Energy,Oil & Gas Integrated
QCOM,Technology,Semiconductors
VIPS,Consumer Cyclical,Internet Retail
CSCO,Technology,Communication Equipment
AXP,Financial Services,Credit Services
BMY,Healthcare,Drug Manufacturers General
V,Financial Services,Credit Services
KEY,Financial Services,Banks Regional
NLMK,Basic Materials,Metals & Mining
RF,Financial Services,Banks Regional
KR,Consumer Defensive,Grocery Stores
HAL,Energy,Oil & Gas Equipment & Services
BABA,Consumer Cyclical,Internet Retail
MRO,Energy,Oil & Gas E&P
GM,Consumer Cyclical,Auto Manufacturers
FCX,Basic Materials,Copper
CRM,Technology,Software Application
ATVI,Communication Services,Electronic Gaming & Multimedia
POLY,Basic Materials,Metals & Mining
SQ,Technology,Software Infrastructure
NUE,Basic Materials,Steel
SWN,Energy,Oil & Gas E&P
LOW,Consumer Cyclical,Home Improvement Retail
VEON,Communication Services,Communication Services
SLB,Energy,Oil & Gas Equipment & Services
FOXA,Communication Services,Broadcasting
GIS,Consumer Defensive,Packaged Foods
VZ,Communication Services,Telecom Services
RASP,Basic Materials,Metals & Mining
ABBV,Healthcare,Drug Manufacturers General
XRX,Technology,Information Technology Services
CVLT,Technology,Software Application
MAT,Consumer Cyclical,Leisure
DVN,Energy,Oil & Gas E&P
IBN,Financial Services,Banks Regional
PRFN,Basic Materials,Metals & Mining
MPC,Energy,Oil & Gas Refining & Marketing
PM,Consumer Defensive,Tobacco
MSCI,Financial Services,Financial Data & Stock Exchanges
KO,Consumer Defensive,Beverages Non-Alcoholic
SRC,Real Estate,REIT Diversified
COP,Energy,Oil & Gas E&P
CHK,Energy,Oil & Gas E&P
DIS,Consumer Cyclical,Entertainment
LEN,Consumer Cyclical,Residential Construction
CVX,Energy,Oil & Gas Integrated
PYPL,Financial Services,Credit Services
WMT,Consumer Defensive,Discount Stores
GMKN,Basic Materials,Metals & Mining
CLF,Basic Materials,Steel
MRK,Healthcare,Drug Manufacturers General
MDLZ,Consumer Defensive,Confectioners
MGM,Consumer Cyclical,Resorts & Casinos
SCHW,Financial Services,Capital Markets
NVDA,Technology,Semiconductors
JNJ,Healthcare,Drug Manufacturers General
WDC,Technology,Computer Hardware
BSX,Healthcare,Medical Devices
ALRS,Basic Materials,Metals & Mining
ON,Technology,Semiconductors
BK,Financial Services,Asset Management
APA,Basic Materials,Independent Oil & Gas
DAL,Industrials,Airlines
CCL,Consumer Cyclical,Travel Services
MFGP,Technology,Software Infrastructure
DISCA,Communication Services,Entertainment
ABT,Healthcare,Medical Devices
FITB,Financial Services,Banks Regional
USB,Financial Services,Banks Regional
BA,Industrials,Aerospace & Defense
EBAY,Consumer Cyclical,Retail Apparel & Specialty
HBAN,Financial Services,Banks Regional
WBA,Healthcare,Pharmaceutical Retailers
CDNA,Healthcare,Diagnostics & Research
KNX,Industrials,Trucking
KBH,Consumer Cyclical,Residential Construction
DISCK,Communication Services,Entertainment
PGR,Financial Services,Insurance Property & Casualty
MO,Consumer Defensive,Tobacco
MDT,Healthcare,Medical Devices
RIG,Energy,Oil & Gas Drilling
EOG,Energy,Oil & Gas E&P
HPE,Technology,Communication Equipment
TXN,Technology,Semiconductors
OKE,Energy,Oil & Gas Midstream
CVS,Healthcare,Health Care Plans
HES,Energy,Oil & Gas E&P
GDDY,Technology,Software Infrastructure
BX,Financial Services,Asset Management
NLSN,Industrials,Consulting Services
BOX,Technology,Software Infrastructure
OXY,Energy,Oil & Gas E&P
SYF,Financial Services,Credit Services
MTG,Financial Services,Insurance Specialty
LUV,Industrials,Airlines
FTI,Energy,Oil & Gas Equipment & Services
AA,Basic Materials,Aluminum
ETSY,Consumer Cyclical,Internet Retail
TAL,Consumer Defensive,Education & Training Services
UNH,Healthcare,Health Care Plans
AMZN,Consumer Cyclical,Internet Retail
ENTG,Technology,Semiconductor Equipment & Materials
CSX,Industrials,Railroads
WYNN,Consumer Cyclical,Resorts & Casinos
FOX,Communication Services,Broadcasting
CNC,Healthcare,Health Care Plans
ZION,Financial Services,Banks Regional
CLDR,Technology,Software Application
CI,Healthcare,Health Care Plans
WMB,Energy,Oil & Gas Midstream
SYNH,Healthcare,Diagnostics & Research
HBI,Consumer Cyclical,Apparel Manufacturing
D,Utilities,Utilities Diversified
CFG,Financial Services,Banks Regional
RUSP,Basic Materials,Metals & Mining
MMM,Industrials,Specialty Industrial Machinery
BIIB,Healthcare,Drug Manufacturers General
ACN,Technology,Information Technology Services
SBUX,Consumer Cyclical,Restaurants
LVS,Consumer Cyclical,Resorts & Casinos
VLO,Energy,Oil & Gas Refining & Marketing
ADSK,Technology,Software Application
HD,Consumer Cyclical,Home Improvement Retail
BIDU,Communication Services,Internet Content & Information
ARNC,Industrials,Specialty Industrial Machinery
MLCO,Consumer Cyclical,Resorts & Casinos
NTRS,Financial Services,Asset Management
DHI,Consumer Cyclical,Residential Construction
UAL,Industrials,Airlines
HRB,Consumer Cyclical,Personal Services
IPG,Communication Services,Advertising Agencies
DE,Industrials,Farm & Heavy Construction Machinery
KHC,Consumer Defensive,Consumer Packaged Goods
COG,Energy,Oil & Gas E&P
IBM,Technology,Software Application
NYT,Communication Services,Publishing
AAL,Industrials,Airlines
JCI,Industrials,Engineering & Construction
NWL,Consumer Defensive,Household & Personal Products
KMB,Consumer Defensive,Household & Personal Products
IT,Technology,Information Technology Services
CAT,Industrials,Farm & Heavy Construction Machinery
MYL,Healthcare,Drug Manufacturers General Specialty & Generic
XRAY,Healthcare,Medical Instruments & Supplies
CHMK,Basic Materials,Metals & Mining
CMC,Basic Materials,Steel
TMUS,Communication Services,Telecom Services
NRG,Utilities,Utilities Independent Power Producers
CPB,Consumer Defensive,Packaged Foods
WRB,Financial Services,Insurance Property & Casualty
MOMO,Communication Services,Internet Content & Information
TGT,Consumer Defensive,Discount Stores
GLW,Technology,Electronic Components
MAS,Industrials,Building Products & Equipment
DOV,Industrials,Specialty Industrial Machinery
HRL,Consumer Defensive,Packaged Foods
AES,Utilities,Utilities Diversified
